customer_id,date,item
C0001,2025-04-10,Refrigerator
C0001,2025-04-10,Water Filter
C0001,2025-04-10,Dryer Vent Kit
C0001,2025-04-10,Toaster Oven
C0001,2025-06-09,Stand Mixer
C0001,2025-06-16,Range
C0001,2025-06-16,Battery Pack
C0001,2025-06-16,Maintenance Plan
C0001,2025-07-08,Dehumidifier
C0001,2025-07-08,Extra Filters
C0001,2025-07-08,Maintenance Plan
C0001,2025-07-26,Refrigerator
C0001,2025-07-26,Maintenance Plan
C0002,2025-04-15,Washer
C0002,2025-04-15,Drain Hose
C0002,2025-04-15,Washer Hoses
C0002,2025-04-15,Leaf Blower
C0002,2025-04-18,Patio Furniture Set
C0002,2025-04-18,Coffee Filters
C0002,2025-04-18,Dishwasher Pods
C0002,2025-04-18,Coffee Maker
C0002,2025-04-18,Maintenance Plan
C0002,2025-06-30,Patio Furniture Set
C0002,2025-07-01,Lawn Mower
C0002,2025-07-01,Grill Brush
C0002,2025-07-01,Dehumidifier
C0002,2025-07-08,Lawn Mower
C0002,2025-07-08,Extra Brushes
C0002,2025-07-13,Air Purifier
C0003,2025-04-16,Water Heater
C0003,2025-04-16,Shoulder Strap
C0003,2025-04-16,Microwave
C0003,2025-04-16,Anode Rod
C0003,2025-05-27,Toaster Oven
C0003,2025-07-10,Pressure Washer
C0003,2025-07-16,Coffee Maker
C0004,2025-04-10,Coffee Maker
C0004,2025-04-10,Recipe Book
C0004,2025-04-10,Water Heater
C0004,2025-04-10,Maintenance Plan
C0004,2025-05-01,Food Processor
C0004,2025-06-04,Range
C0004,2025-06-04,Microwave Trim Kit
C0004,2025-06-04,Washer Hoses
C0004,2025-06-04,Installation Kit
C0004,2025-06-16,Range
C0004,2025-06-16,Robot Vacuum
C0004,2025-06-16,Vacuum Bags
C0004,2025-06-16,Maintenance Plan
C0005,2025-04-24,Patio Furniture Set
C0005,2025-06-30,Pressure Washer
C0005,2025-08-08,Blender
C0006,2025-04-21,Lawn Mower
C0006,2025-06-03,Grill
C0006,2025-06-03,Grill Brush
C0006,2025-06-03,Leaf Blower
C0006,2025-06-03,Maintenance Plan
C0006,2025-07-14,Lawn Mower
C0006,2025-07-14,Vacuum Bags
C0006,2025-07-14,Maintenance Plan
C0006,2025-08-01,Dehumidifier
C0006,2025-08-02,Water Heater
C0006,2025-08-02,Slow Cooker
C0007,2025-05-01,Patio Furniture Set
C0007,2025-05-01,Lint Trap
C0007,2025-05-01,Cushion Covers
C0007,2025-05-21,Pressure Washer
C0007,2025-05-21,Hose Extension
C0007,2025-06-05,Patio Furniture Set
C0007,2025-06-05,Portable Heater
C0007,2025-06-08,Outdoor Fire Pit
C0007,2025-06-08,Microwave Trim Kit
C0007,2025-06-08,Firewood Rack
C0007,2025-06-08,Maintenance Plan
C0007,2025-07-07,Coffee Maker
C0007,2025-07-07,Water Filter
C0007,2025-07-07,Pressure Washer
C0007,2025-07-07,Maintenance Plan
C0007,2025-07-13,Leaf Blower
C0007,2025-07-13,Maintenance Plan
C0008,2025-04-28,Outdoor Fire Pit
C0008,2025-04-28,Grill
C0008,2025-04-28,Dough Hook
C0008,2025-05-18,Dryer
C0008,2025-05-18,Drain Hose
C0008,2025-05-18,Fuel Stabilizer
C0008,2025-05-18,Maintenance Plan
C0008,2025-07-20,Stand Mixer
C0008,2025-07-20,Pouring Shield
C0008,2025-07-20,Installation Kit
C0008,2025-07-20,Patio Furniture Set
C0009,2025-05-12,Stand Mixer
C0009,2025-06-26,Toaster Oven
C0009,2025-06-26,Spare Blades
C0009,2025-06-26,Pizza Stone
C0009,2025-06-26,Pizza Stone
C0009,2025-07-13,Lawn Mower
C0009,2025-07-13,Pizza Stone
C0010,2025-05-13,Dryer
C0010,2025-05-13,Dryer Vent Kit
C0010,2025-05-13,Furniture Covers
C0010,2025-05-13,Pressure Washer
C0010,2025-05-13,Maintenance Plan
C0010,2025-05-20,Toaster Oven
C0010,2025-05-20,Grill Cover
C0010,2025-05-20,Oven Liners
C0010,2025-05-20,Furniture Covers
C0010,2025-06-04,Range
C0010,2025-06-04,Recipe Book
C0010,2025-06-04,Food Processor
C0010,2025-06-29,Dryer
C0010,2025-07-08,Coffee Maker
C0010,2025-07-08,Portable Heater
C0011,2025-04-22,Ceiling Fan
C0011,2025-04-22,Light Kit
C0011,2025-04-22,Propane Tank
C0011,2025-04-22,Leaf Blower
C0011,2025-05-24,Blender
C0011,2025-05-24,Food Processor
C0011,2025-05-24,Washer
C0011,2025-05-24,Maintenance Plan
C0011,2025-06-15,Leaf Blower
C0011,2025-06-15,Food Processor
C0012,2025-06-27,Blender
C0012,2025-07-12,Stand Mixer
C0012,2025-07-12,Blender
C0012,2025-07-12,Carbon Filter
C0012,2025-07-12,Toaster Oven
C0013,2025-04-23,Stand Mixer
C0013,2025-04-23,Weather Cover
C0013,2025-05-08,Slow Cooker
C0013,2025-05-08,Dishwasher
C0013,2025-05-13,Washer
C0013,2025-05-13,Grill Grate
C0013,2025-05-18,Vacuum
C0013,2025-05-18,Foam Cannon
C0013,2025-05-25,Toaster Oven
C0013,2025-05-25,Weather Cover
C0013,2025-05-25,Refrigerator
C0013,2025-05-25,Pizza Stone
C0013,2025-06-23,Food Processor
C0013,2025-06-23,Robot Vacuum
C0013,2025-06-23,Drain Hose
C0013,2025-07-13,Leaf Blower
C0013,2025-07-13,Water Heater
C0013,2025-07-13,Pizza Stone
C0014,2025-05-11,Food Processor
C0014,2025-05-11,Grill
C0014,2025-05-11,Patio Umbrella
C0014,2025-05-11,Portable Heater
C0014,2025-05-15,Grill
C0014,2025-05-15,Blender
C0014,2025-05-15,Safety Guard
C0014,2025-05-15,Surge Protector
C0014,2025-05-18,Microwave
C0014,2025-05-18,Oven Liners
C0014,2025-05-18,Anode Rod
C0014,2025-05-18,Maintenance Plan
C0014,2025-05-21,Washer
C0014,2025-05-21,Dryer
C0014,2025-05-21,Coffee Filters
C0014,2025-05-21,Maintenance Plan
C0014,2025-05-25,Vacuum
C0014,2025-05-25,Rinse Aid
C0014,2025-07-02,Microwave
C0014,2025-07-02,Surge Protector
C0014,2025-07-21,Range
C0015,2025-05-05,Pressure Washer
C0015,2025-05-05,Installation Kit
C0015,2025-05-18,Slow Cooker
C0015,2025-06-12,Air Purifier
C0015,2025-06-12,Drain Hose
C0015,2025-06-12,Coffee Maker
C0015,2025-06-12,HEPA Filter
C0015,2025-06-12,Maintenance Plan
C0015,2025-06-30,Slow Cooker
C0015,2025-06-30,Pouring Shield
C0015,2025-06-30,Maintenance Plan
C0015,2025-07-19,Range
C0015,2025-07-19,Maintenance Plan
C0015,2025-07-26,Water Heater
C0015,2025-07-26,Patio Furniture Set
C0015,2025-07-26,Grill Grate
C0015,2025-07-26,Expansion Tank
C0016,2025-04-19,Blender
C0016,2025-04-19,Maintenance Plan
C0016,2025-05-03,Dishwasher
C0016,2025-05-03,Rinse Aid
C0016,2025-05-03,Ceiling Fan
C0016,2025-06-02,Patio Furniture Set
C0016,2025-06-02,Battery Pack
C0016,2025-06-30,Lawn Mower
C0016,2025-06-30,Firewood Rack
C0016,2025-07-05,Blender
C0016,2025-07-05,Grill Cover
C0016,2025-07-05,Installation Kit
C0017,2025-05-16,Toaster Oven
C0017,2025-05-16,Microwave
C0017,2025-05-16,Slicing Blade Set
C0017,2025-05-23,Food Processor
C0017,2025-05-23,Extra Crock Insert
C0017,2025-05-23,Water Heater
C0017,2025-05-23,Spare Blades
C0017,2025-06-04,Coffee Maker
C0017,2025-06-04,Remote Control
C0017,2025-06-04,Extended Warranty
C0017,2025-06-04,Extended Warranty
C0018,2025-04-15,Portable Heater
C0018,2025-04-15,Microwave Trim Kit
C0018,2025-04-15,Blade Assembly
C0018,2025-04-15,Extra Brushes
C0018,2025-04-15,Maintenance Plan
C0018,2025-04-21,Coffee Maker
C0018,2025-04-21,Microwave Trim Kit
C0018,2025-04-21,Outdoor Fire Pit
C0018,2025-04-21,Remote Control
C0018,2025-05-31,Dehumidifier
C0018,2025-05-31,Mop Attachment
C0018,2025-05-31,Nozzle Attachment
C0018,2025-05-31,Pizza Stone
C0018,2025-06-30,Leaf Blower
C0018,2025-06-30,Maintenance Plan
C0018,2025-07-11,Leaf Blower
C0018,2025-07-11,Nozzle Set
C0018,2025-07-11,Dehumidifier
C0018,2025-07-11,Patio Umbrella
C0018,2025-07-19,Toaster Oven
C0019,2025-04-11,Portable Heater
C0019,2025-04-11,Slow Cooker
C0019,2025-04-11,Dough Blade
C0019,2025-04-11,Maintenance Plan
C0019,2025-04-27,Refrigerator
C0019,2025-04-27,Mop Attachment
C0019,2025-04-27,Nozzle Set
C0019,2025-04-27,Washer
C0019,2025-05-19,Robot Vacuum
C0019,2025-05-27,Patio Furniture Set
C0019,2025-05-27,Lint Trap
C0019,2025-05-27,Toaster Oven
C0019,2025-05-27,Furniture Covers
C0019,2025-05-27,Maintenance Plan
C0019,2025-07-19,Stand Mixer
C0019,2025-07-19,HEPA Filter
C0019,2025-07-24,Dryer
